Compound,Type,Source,16iih,21iih,23iih,28iih,34iih,35iih,3iih,41iih,42iih,44iih,4iih,6iih
"Phenol, 3,4-dimethyl-",Aromatic,Aromatic,1.9305537723354718E-3,3.0522710710436884E-3,1.2939591204394536E-2,9.5952326843925934E-3,8.0120676725750368E-3,6.2224330610547484E-3,7.2747089223330645E-3,6.249927507550955E-3,5.6749485006752729E-3,2.3089551648028525E-3,1.1231277583238931E-3,4.2549298497569603E-3
m-xylene,Aromatic,Aromatic,1.6165882799487342E-4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"Benzene, 1,2,3-trimethyl-",Aromatic,Aromatic,7.4149297138144423E-5,0.00000,0.00000,0.00000,1.1297591826077029E-4,0.00000,1.3575126471139379E-4,0.00000,0.00000,2.6953517434025133E-4,0.00000,0.00000
2H-1-Benzopyran-2-one,Aromatic,Aromatic,0.00000,5.6798783408986905E-4,3.6808740028034941E-4,4.9419055554954336E-4,0.00000,4.3303452650600443E-4,3.9816040798126503E-4,4.2656713816873848E-4,0.00000,3.7226011840699045E-4,0.00000,4.9799077551922232E-4
Benzaldehyde,Aromatic,Aromatic,0.00000,0.00000,0.00000,0.00000,1.5678290697413022E-4,0.00000,3.0203032579329242E-4,0.00000,0.00000,2.9403837200754688E-4,0.00000,0.00000
"Benzene, (1-methylethyl)-",Aromatic,Aromatic,0.00000,0.00000,4.5100128566773185E-4,1.55110904296572E-4,0.00000,0.00000,6.6251813399818989E-5,0.00000,0.00000,0.00000,0.00000,0.00000
Benzofuran,Aromatic,Aromatic,0.00000,0.00000,0.00000,0.00000,7.6662230248379843E-5,0.00000,0.00000,0.00000,0.00000,1.423070326062166E-4,0.00000,0.00000
Fluorene,Aromatic,Aromatic,0.00000,1.0351180153974249E-3,3.504996064102986E-4,1.1398847850631803E-3,0.00000,5.5982391489740207E-4,9.0933861529163306E-4,2.3293441477528868E-4,4.4755464692213995E-4,1.3571001784963704E-3,1.4920383358755368E-3,0.00000
Naphthalene,Aromatic,Aromatic,0.00000,0.00000,0.00000,0.00000,3.4584464773705192E-5,0.00000,0.00000,0.00000,0.00000,0.00000,1.3034840406824744E-4,0.00000
"Naphthalene, 1,2-dihydro-4-methyl-",Aromatic,Aromatic,0.00000,0.00000,0.00000,4.7495199377632511E-4,0.00000,0.00000,0.00000,0.00000,0.00000,4.1466949898500202E-4,0.00000,0.00000
"Phenol, 2,6-dimethoxy-4-(2-propenyl)- (Methoxyeugenol)",Aromatic,Lignin,0.18638,0.19906,0.17588,0.18277,0.23517,0.19018,0.18966,0.26169,0.21212,0.18000,0.20659,0.19160
"Phenol, 2-methoxy-4-(1Z)-1-propen-1-yl- (cis-Isoeugenol)",Aromatic,Lignin,8.0161402311507493E-2,6.6353718935732359E-2,4.8115178944496184E-2,3.3306760069884062E-2,4.1789561601560443E-2,3.9499770998858513E-2,7.1448034058628304E-2,3.0962064186180343E-2,3.342777883959408E-2,5.7771000654046875E-2,5.4024904579229607E-2,3.2710312638091037E-2
"Phenol, 2,6-dimethoxy- (Syringol)",Aromatic,Lignin,4.6560414509267262E-2,6.2107080923845495E-2,5.7160330077665182E-2,3.5110375236123273E-2,6.1675628846440927E-2,2.8478847238683172E-2,7.5345199552735304E-2,2.8278046238152325E-2,3.1761942684797033E-2,5.2587631916734351E-2,5.6238368044539459E-2,2.7963433495360145E-2
"2-Propanone, 1-(4-hydroxy-3-methoxyphenyl)- (Guaiacylacetone)",Aromatic,Lignin,4.542479464318757E-2,3.1938256714399177E-2,2.3743521724568614E-2,3.4028206136379746E-2,1.9309659498652067E-2,3.3647953073101693E-2,3.0008174304623891E-2,2.5018881586975447E-2,4.3867018742988907E-2,3.562387968552972E-2,2.1724734011374574E-2,3.4954291869200182E-2
"1,2-Benzenediol, 4-methyl- (Homocatechol)",Aromatic,Lignin,4.1550326864798044E-2,3.4592405471828472E-2,2.6130436606932653E-2,3.8958087590766917E-2,3.6659532660127503E-2,5.7932997464992482E-2,4.1115095962828835E-2,5.1283914364106759E-2,4.7753969770848684E-2,7.275564845827763E-2,4.6482732771507107E-2,5.281981882456916E-2
"Ethanone, 1-(4-hydroxy-3-methoxyphenyl)-  (Acetovanillone)",Aromatic,Lignin,4.0013899987160817E-2,2.477205506934008E-2,1.5326506086758576E-2,2.3927961205440176E-2,1.5908853795904388E-2,3.0722044110223286E-2,2.5461481228165727E-2,3.3741939918066503E-2,3.0651385248265665E-2,3.2890830714946757E-2,2.2708495551512289E-2,2.8912809323906323E-2
"Phenol, 4-ethyl-2,6-dimethoxy- (Ethylsyringol)",Aromatic,Lignin,3.0394531709779925E-2,2.1410133309929642E-2,7.6381276235649304E-3,2.50101303051837E-2,3.0088484353123515E-2,3.9304710401333286E-3,3.1956757051677394E-2,1.9746703474777558E-3,1.0161600544261988E-2,1.3099786445208018E-2,1.8281568620892568E-2,1.1737737516570926E-2
"Benzaldehyde, 4-hydroxy-3-methoxy- (Vanillin)",Aromatic,Lignin,2.9125309506514388E-2,4.0077646237182345E-2,2.8266097291153109E-2,3.6312785346949414E-2,2.5189018510181946E-2,4.4668876833277034E-2,3.2541331875793438E-2,4.812060749678803E-2,5.1974088029667867E-2,4.4576971140887718E-2,3.9268481477163851E-2,4.6692029385771106E-2
"Benzaldehyde, 4-hydroxy-3,5-dimethoxy- (Syringaldehyde)",Aromatic,Lignin,1.7702309677124571E-2,1.8225154801014491E-2,2.173348813941995E-2,2.9459047715240418E-2,3.7754707377961501E-2,3.0917104707748513E-2,1.5653614734663111E-2,2.9236624076733764E-2,2.5431765296568251E-2,2.346652391983307E-2,2.2790475679857099E-2,2.0109506186478131E-2
"Benzeneacetic acid, 4-hydroxy-3-methoxy- (Homovanillic acid)",Aromatic,Lignin,8.6841519170799773E-3,5.3436861649576468E-3,3.3793689650311941E-3,8.9218830223299558E-3,3.2163552239545829E-3,9.5092041293548257E-3,3.7347835985192075E-3,8.1862547414854533E-3,7.2963623580110668E-3,9.2169720456211808E-3,5.0909659702126839E-3,6.4212328767123293E-3
