Compound,Type,Source,16iih,21iih,23iih,28iih,34iih,35iih,3iih,41iih,42iih,44iih,4iih,6iih
n-Tricosane (C23),Aliphatic,Lipid,2.5050438222346086E-4,0.00000,1.2324018418942756E-3,7.0581473505494392E-4,0.00000,0.00000,0.00000,9.5857783858143482E-4,9.7729054414760091E-4,3.7885713316357009E-4,4.0826103915715233E-4,0.00000
n-Pentacosane (C25),Aliphatic,Lipid,9.5525671087879756E-5,0.00000,1.3567726699753493E-3,4.9419055554954336E-4,0.00000,0.00000,0.00000,4.9846047606234606E-4,8.5068699638302537E-4,9.0944560572847047E-4,2.6807501968752781E-4,0.00000
"2-Butenedioic acid, 2-methyl-, (E)-",FAME,Lipid,0.00000,5.9806818667406769E-4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"9,12-Octadecadienoic acid (Z,Z)-, ME ? (C18:2n6c Linoleic acid ME))",FAME,Lipid,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.1877981499667885E-3,0.00000,0.00000,0.00000
"9-Octadecenoic acid, methyl ester, (E)-",FAME,Lipid,0.00000,0.00000,0.00000,0.00000,0.00000,7.7341526918752587E-3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
C14_alkene_#3,other,Lipid,0.00000,0.00000,2.9899249579086402E-4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"Pyrrolidine, 1-nitroso",Aromatic,N-Bearing,1.3226631381398706E-3,2.5922186197559469E-3,2.8642978588368502E-3,0.00000,0.00000,1.7262862880982604E-3,0.00000,0.00000,1.3659856469335769E-3,0.00000,0.00000,4.0219012372956229E-3
"Pyrazolo[5,1-c][1,2,4]benzotriazin-8-ol",Aromatic,N-Bearing,1.2959426707027078E-3,1.7959739925271529E-3,2.52510469134302E-3,3.0541216814983902E-3,0.00000,3.5013377255778237E-3,1.7407339207011227E-3,3.8726544678689967E-3,3.9202677509557115E-3,3.1477184695679647E-3,2.7381362867166491E-3,1.6398309765797649E-3
"2,5-Furandione, 3-methyl-",Aromatic,N-Bearing,3.1196145732895019E-4,0.00000,2.1230979743132772E-3,6.7094484184098812E-4,4.4152833361096893E-4,0.00000,2.8514260865216296E-4,0.00000,0.00000,2.5162899142953525E-4,1.196909873834222E-4,0.00000
Diethyltoluamide (DEET),Aromatic,N-Bearing,1.095539164923938E-4,0.00000,0.00000,0.00000,1.0375339432111554E-4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
N-Butyl-tert-butylamine,Aliphatic,N-Bearing,0.00000,2.8930221455979237E-4,0.00000,0.00000,2.4209125341593637E-4,0.00000,1.318540992172868E-4,0.00000,0.00000,0.00000,0.00000,1.7520299381352139E-4
2-Pyrimidinamine,Aromatic,N-Bearing,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.924236504684205E-5,0.00000,0.00000,0.00000,0.00000,0.00000
3-Phenylpyridine,Aromatic,N-Bearing,0.00000,0.00000,0.00000,0.00000,7.3780191517237943E-5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
3-Pyridinol,Aromatic,N-Bearing,0.00000,1.4597818165861174E-3,0.00000,1.3466993241252805E-3,0.00000,2.0091241545098417E-3,1.5523709218192856E-3,9.5761926074285314E-4,1.2882466263763861E-3,0.00000,1.3608701305238364E-3,9.7526789659743707E-4
4-Amino-2(1H)-pyridinone,Aromatic,N-Bearing,0.00000,0.00000,1.3944607996968899E-2,0.00000,0.00000,1.4922135710679903E-2,0.00000,1.2749085253133107E-2,0.00000,0.00000,0.00000,0.00000
"Dimethylpyrrole (2,5 or 2,4)",Aromatic,N-Bearing,0.00000,3.8750571858467599E-4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
N-Isopropyl-4-piperidone,Aromatic,N-Bearing,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.724648143505808E-3,0.00000,0.00000
"Phenol, 4-methyl-",Aromatic,Phenol,5.9252636541922621E-3,1.2474499159917683E-2,2.0728471346845617E-2,1.6593259529400724E-2,7.8967861233293513E-3,1.1996226747801474E-2,9.872819251737731E-3,1.1311218495260931E-2,1.0272656287915124E-2,1.4513432464475071E-2,8.6079134762050199E-3,8.7169962439239967E-3
Phenol,Aromatic,Phenol,2.1910783298478712E-3,2.7426203826769377E-3,4.9371449935214102E-3,3.378772411421452E-3,3.7466503504847292E-3,1.8433226466133973E-3,3.0917512919915527E-3,1.8308836716905406E-3,2.3210650423505525E-3,5.4284007139854817E-3,2.9676806460821117E-3,2.2267178524083076E-3
p-isopropenylphenol,Aromatic,Phenol,0.00000,0.00000,0.00000,0.00000,0.00000,1.9798650648810562E-3,0.00000,8.9722885691222295E-4,2.165587001236161E-3,0.00000,0.00000,0.00000
"Benzene, 1,4-dimethoxy-",Aromatic,Phenol+TMAH,1.5564672282151036E-4,1.8755984552500348E-4,1.6582777077476493E-4,0.00000,2.501609618631342E-4,1.1996226747801475E-4,2.4941859162284794E-4,8.2916983037294108E-5,9.6285329747269316E-5,4.0524519218988839E-4,1.6559985925651563E-4,8.4580755634114016E-5
"Benzofuran, 2,3-dihydro-",Aromatic,Polysaccharide,1.5497871113558114E-2,2.6806902450035874E-2,3.932128200947077E-2,2.7775673560083824E-2,8.8766792919176656E-3,1.5799908399543403E-2,3.2216568084617855E-2,1.572067655273553E-2,2.6098099758487071E-2,1.6586779959400083E-2,1.7051866695720418E-2,1.6829844233318604E-2
"4H-Pyran-4-one, 3-hydroxy-2-methyl-",Aromatic,Polysaccharide,1.9038333048983027E-3,3.2557558091132681E-3,3.1658028966091486E-3,1.8877838739970391E-3,1.3776145134859236E-3,1.3849302424291134E-3,2.1499362975823614E-3,3.2399930944052496E-4,9.995016928782284E-4,1.6869509163253491E-3,1.4756423102065749E-3,1.8469675209898367E-3
3-Furaldehyde,Aromatic,Polysaccharide,1.8704327206018412E-3,3.4857820347571401E-3,3.1155520569804323E-3,2.8136396593331663E-3,5.6660881454253674E-4,2.8673907836208401E-3,1.2925598888788214E-3,7.1126475622742462E-4,5.5638927570221377E-3,2.2806822444175114E-3,2.3446316706615578E-3,3.2969233318603628E-3
"2(3H)-Furanone, 5-methyl-",Aromatic,Polysaccharide,1.0754988143460589E-3,1.6721137171804557E-3,4.2210705288121975E-3,1.1651353973905292E-3,1.539008682429881E-3,0.00000,7.2097561640979484E-4,8.2245978550287108E-4,0.00000,3.2985073782897893E-3,3.3611852621371984E-4,8.1128479893946093E-4
2H-Pyran-2-one,Aliphatic,Polysaccharide,3.086213988993038E-4,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.2380575038133052E-4,0.00000
"2-Cyclopenten-1-one, 2-methyl-",Aromatic,Polysaccharide,2.4916835885160243E-4,2.1852491436167857E-4,1.1130560977760736E-3,0.00000,5.764077462284199E-4,0.00000,4.7740277302810738E-4,0.00000,0.00000,1.1120682018234147E-3,0.00000,0.00000
"Furfural, 5-methyl-",Aromatic,Polysaccharide,2.4716432379381475E-4,2.9549522832712809E-4,9.42203243038437E-4,3.61925443358668E-4,3.4815027872196557E-4,0.00000,6.0341112400423371E-5,0.00000,0.00000,5.3435819528294582E-4,5.4844705862677702E-4,8.1560014361467092E-4
"2-Cyclopenten-1-one, 2,3-dimethyl-",Aromatic,Polysaccharide,2.4516028873602702E-4,5.0605769641651882E-4,1.2939591204394535E-3,9.3427265611191045E-4,5.2453104906786214E-4,5.1983649240473057E-4,7.3396616805681809E-4,0.00000,1.6880473035276743E-4,1.0366737474625052E-3,4.6072832129783056E-4,4.6346801811754314E-4
"2-Cyclopenten-1-one, 2-hydroxy-3-methyl-",Aromatic,Polysaccharide,2.231159031003625E-4,1.0528123404469535E-2,1.1859198152377127E-3,8.4409189779994999E-4,4.8706454556301479E-4,0.00000,1.0327488559383548E-4,0.00000,3.1761942684797032E-4,7.7373558787883342E-3,4.7220553926610395E-4,4.6260494918250118E-4
"Furan, 2,4-dimethyl-",Aromatic,Polysaccharide,1.1356198660796894E-4,5.6356425282748693E-4,1.0452174642773062E-3,7.6834006081790307E-4,4.7495998289221798E-4,0.00000,5.6768710697491947E-4,0.00000,0.00000,1.4042217124719386E-3,8.4439532195154004E-5,6.9822276844896166E-4
"Benzofuran, 2-methyl-",Aromatic,Polysaccharide,8.550549579894132E-5,1.2562970785165325E-4,3.3793689650311941E-4,1.2745547174757078E-4,1.6197057669018597E-4,9.6554995774987475E-5,1.552370921819288E-4,1.8021263365330974E-4,1.3326689238376378E-4,3.0534754016168337E-4,1.2706919893445506E-4,1.0702054794520549E-4
Acetic anhydride,Aliphatic,Polysaccharide,0.00000,0.00000,0.00000,0.00000,7.6085822502151431E-5,0.00000,0.00000,0.00000,0.00000,0.00000,5.5090646247712126E-4,0.00000
"1,2-Cyclohexanedione",Aromatic,Polysaccharide,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.1407076279119075E-3,0.00000,0.00000,0.00000,0.00000
"2(3H)-Benzofuranone, 3-methyl-",Aromatic,Polysaccharide,0.00000,0.00000,0.00000,3.6312785346949411E-4,0.00000,1.9115938557472267E-4,0.00000,0.00000,0.00000,2.0073773473592145E-4,0.00000,0.00000
2-Acetylfuran,Aromatic,Polysaccharide,0.00000,0.00000,2.4999792715286529E-4,0.00000,1.5678290697413022E-4,0.00000,2.1239551942883145E-4,0.00000,0.00000,2.6859274366073998E-4,0.00000,0.00000
5-Ethyl-2-furaldehyde,Aromatic,Polysaccharide,0.00000,0.00000,0.00000,0.00000,6.628689081626828E-5,0.00000,0.00000,0.00000,0.00000,1.875437052227623E-4,0.00000,0.00000
"Cyclopent-2-ene-1-one, 2,3,4-trimethyl-",Aromatic,Polysaccharide,0.00000,0.00000,9.0074630034474579E-3,0.00000,1.2738611191648078E-4,0.00000,1.6043331284073812E-4,0.00000,0.00000,2.0639231881298966E-4,5.3942924450884793E-5,1.0443134114007955E-4
Furfural,Aromatic,Polysaccharide,0.00000,0.00000,8.9572121638187415E-4,0.00000,7.2627376024780909E-4,0.00000,0.00000,0.00000,0.00000,1.875437052227623E-3,0.00000,0.00000
Levoglucosan,Aromatic,Polysaccharide,0.00000,1.7871268300023918E-2,7.8140055622654386E-2,6.0000264530224355E-2,0.00000,2.2431968715401131E-2,1.6173236800544045E-2,6.0102830479055964E-2,4.0202179202435399E-2,2.1298933356956921E-2,3.1562349412751739E-2,4.0219012372956262E-2
Methyl 2-furoate,Aromatic,Polysaccharide,0.00000,0.00000,1.9095319058912326E-3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.0084008270771641E-3,0.00000,0.00000
Vinylfuran,Aromatic,Polysaccharide,0.00000,0.00000,0.00000,0.00000,0.00000,8.8167390081402697E-5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
Indole,Aromatic,Protein,6.5131139378099665E-4,1.3890045163879939E-3,1.8844064860768744E-3,1.5150367396409312E-3,4.8706454556301495E-4,1.2873999436665005E-3,1.3445220954669183E-3,6.8538315458572738E-4,1.2216131801844983E-3,1.4890404736279653E-3,1.3034840406824771E-3,1.0011599646486959E-3
3-Methylindole,Aromatic,Protein,6.1123069262524377E-4,1.1855197783184155E-3,0.00000,1.1483016558389595E-3,3.7754707377961474E-4,1.872581736242183E-3,4.3518348017528068E-4,7.8028236060528867E-4,1.7657863240848667E-3,9.2546692728016509E-4,1.0411476299790863E-3,1.0960975475033114E-3
Ethylbenzene,Aromatic,Protein,0.00000,0.00000,5.3768398402726804E-4,0.00000,6.2252036592669346E-4,0.00000,5.748319103807823E-4,0.00000,0.00000,1.0649466678478463E-4,0.00000,0.00000
Styrene,Aromatic,Protein,0.00000,0.00000,0.00000,0.00000,3.717829963173308E-4,0.00000,9.1583389111514474E-5,0.00000,0.00000,2.0356502677445554E-4,0.00000,0.00000
"Benzene, 1,4-dimethoxy-2,3,5,6-tetramethyl-",Aromatic,Unknown Origin,4.7762835543939876E-2,4.2643323369363995E-2,2.1230979743132785E-2,1.4549162340996288E-2,5.5565706736419675E-2,1.7945574972320903E-2,4.7870182819280967E-2,2.3868588180677726E-2,2.4543319347343162E-2,2.43147115313933E-2,4.2711646867645864E-2,2.5115306009721609E-2
"1,2-Benzenediol, 3-methoxy-",Aromatic,Unknown Origin,4.3821566596957427E-2,3.1495898588160959E-2,3.4673079343814479E-2,2.1042176939457442E-2,5.4470532018585677E-2,2.4480104989416017E-2,5.3650978302206352E-2,1.5241387633444814E-2,1.976792237025829E-2,3.9959060811282018E-2,4.2793626995990666E-2,3.0725254087494477E-2
(ISTD) Ethyl vanillin,Aromatic,Unknown Origin,2.3647613681894709E-2,1.9021399428243276E-2,4.7612670548209017E-3,1.3707475263417991E-2,1.3833785909482076E-2,1.0923393461412724E-2,8.5737640870353973E-3,1.9554987907061273E-2,1.8324197702767518E-2,1.5267377008084166E-2,2.0003151316133571E-2,1.6053082191780824E-2
Resorcinol (Dihydroxybenzene),Aromatic,Unknown Origin,1.0955391649239357E-2,7.2635204328315023E-3,1.4070235096040658E-2,2.5130371316266314E-2,3.1932989141054461E-3,0.00000,8.2490002958598152E-3,7.8603382763677652E-3,1.2993522007416967E-2,8.8871213077922045E-3,8.3619730911705919E-3,1.8555982103402566E-2
(ISTD) 3-Ethoxy-4-methoxybenzaldehyde,Aromatic,Unknown Origin,3.2866174947718072E-3,0.00000,0.00000,0.00000,9.5683685873917696E-4,0.00000,0.00000,0.00000,3.8869510278597766E-3,0.00000,0.00000,1.320495470614229E-2
"Methylparaben (Benzoic acid, 4-hydroxy-, methyl ester )",FAME,Unknown Origin,3.0394531709779923E-3,0.00000,1.6959658374691867E-3,7.9359067314525213E-3,2.9339154283026573E-3,1.9115938557472266E-3,1.9290969195829646E-3,1.1598791846835362E-3,7.8738522250073762E-3,3.7885713316357008E-3,5.4598765477643276E-3,3.1847243703049056E-3
Trimethylphenol,Aromatic,Unknown Origin,1.8704327206018412E-3,1.6809608797052199E-3,7.7386293028223639E-4,2.0440971884044374E-3,9.7412909112602958E-4,5.022810386274601E-4,9.0284333946812133E-4,1.0544356224395782E-3,1.0150494969896674E-3,6.549893222604009E-4,7.3126274483570266E-4,9.0622238179407881E-4
"2H-1-Benzopyran-3,4-diol, 2-(3,4-dimethoxyphenyl)",Aromatic,Unknown Origin,1.4829859427628886E-3,0.00000,7.4873751046787796E-3,0.00000,0.00000,1.1118454058937952E-2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"1H-Inden-1-one, 2,3-dihydro-",Aromatic,Unknown Origin,1.2892625538434121E-3,2.1144718434186714E-3,2.4497284318999364E-3,2.5731576371679386E-3,1.6197057669018599E-3,1.3264120631715452E-3,2.5331575711695494E-3,9.7774939535306342E-4,1.2771410520110694E-3,2.1675905628761472E-3,2.3282356449925959E-3,4.9194929297392853E-4
"Benzoic acid, 4-hydroxy-3,5-dimethoxy-, hydrazide",Aromatic,Unknown Origin,1.2358216189690707E-3,1.238602753467007E-3,1.7587793870050823E-3,1.3226511219087498E-3,2.0750678864223109E-3,2.2139377819113287E-3,7.9242365046842587E-4,2.0130134610210084E-3,2.1544814268708527E-3,9.7070359989670757E-4,1.9183350032685458E-3,1.3550182280159054E-3
7-Methylindan-1-one,Aromatic,Unknown Origin,4.4890385294444186E-4,1.2651442410412971E-3,1.2386831968478652E-3,1.2505065152591851E-3,4.5766775050536541E-4,0.00000,7.794330988213998E-4,0.00000,1.1105574365313647E-3,0.00000,1.5986125027237894E-3,0.00000
Dimethylbenzofuran,Aromatic,Unknown Origin,2.4983637053753167E-4,4.1670135491639923E-4,7.1607446470921222E-4,7.2264847660650979E-4,2.6111270904147422E-4,2.2724559611688971E-4,3.4749725655787406E-4,1.3611805307856375E-4,2.198903724332102E-4,5.1362472033369575E-4,3.6317196856750704E-4,1.7347685594343794E-4
Acenaphthylene,Aromatic,Unknown Origin,3.393499364520483E-5,0.00000,0.00000,4.509037915598023E-4,7.5509414755923004E-5,3.1209695604036356E-4,0.00000,1.7062685526749539E-4,0.00000,0.00000,2.0413051957857617E-4,0.00000
"2-Propenoic acid, ethenyl ester",Aliphatic,Unknown Origin,0.00000,0.00000,2.0477217148702032E-5,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
