Compound,Type,Source,11,13,14,15,16,18,19,21,23,25,28,3,31,32,34,35,4,40,41,42,43,44,46,5,6,8
"Phenol, 2,6-dimethoxy-4-(2-propenyl)- (Methoxyeugenol)",Aromatic,Lignin,0.27542,0.12310,0.10446,0.22659,6.7831308365741222E-2,8.2857125407414786E-2,6.1317332130046205E-2,6.68139047159481E-2,6.5024850086669361E-2,7.1983770780372727E-2,7.576063226506359E-2,0.13273,4.3235509717180806E-2,5.8722875332966856E-2,4.6827205937689714E-2,4.1620907706667383E-2,0.12514,4.9825403481965271E-2,5.9185421696129573E-2,5.1801420838971574E-2,4.5664368272783216E-2,4.0519321441211308E-2,3.4409725991855752E-2,0.19352,0.31650,0.22380
"1,2-Benzenediol, 4-methyl- (Homocatechol)",Aromatic,Lignin,2.942805166773579E-2,1.1963472916431152E-2,2.9066696412077805E-2,3.8509937744749541E-2,1.1749737793428077E-3,2.5447520088272356E-2,1.1791794640393499E-3,4.0830719548634944E-3,1.3571197644493072E-3,2.2885013831910406E-3,1.0534762474727778E-2,3.3181944661048797E-2,2.6530880962815492E-3,2.3815388329481001E-3,5.2011646595076788E-3,9.7252814047262392E-3,3.0925116033278636E-2,2.6781154371556333E-3,5.8586378966411657E-3,9.6504687802049099E-3,9.9468306721077638E-3,2.4204019444971359E-3,9.2924661101000843E-4,3.9248997685535691E-2,5.1644646765050962E-2,4.9436474297542769E-2
"2-Propanone, 1-(4-hydroxy-3-methoxyphenyl)- (Guaiacylacetone)",Aromatic,Lignin,3.0937182522491471E-2,1.3437234072803105E-2,1.5197308276365555E-2,3.691422209234279E-2,1.0452220736485097E-2,8.1228484121765362E-3,5.6207554452542361E-3,9.3209521393853526E-3,6.3015655280620579E-3,5.4507942036004786E-3,9.3841572115305576E-3,1.6748981590815108E-2,2.8103081316167523E-3,3.1971343236837512E-3,3.6625564644121597E-3,3.5027496584819086E-3,1.0927942556837321E-2,5.159005318861821E-3,6.2180635344719131E-3,5.0895273535665952E-3,4.2629274309033266E-3,2.8686245268114202E-3,3.5513781371273589E-3,2.630227969898746E-2,4.6191485305387192E-2,3.2400932478794928E-2
"Phenol, 2,6-dimethoxy- (Syringol)",Aromatic,Lignin,3.6596423227825282E-2,5.3575552625756896E-2,2.3459922484874982E-2,2.4786783134051502E-2,5.5216559201017833E-2,1.9971213765276146E-2,5.1805284453462115E-2,2.1652654306094289E-2,1.3534666829837639E-2,1.2545148491492705E-2,2.8391558442528761E-2,1.4394643612483552E-2,9.1777195626924699E-3,1.6801267109154409E-2,1.3579889721930017E-2,1.2898360507115734E-2,3.1726284842430931E-2,2.7819183610763944E-2,2.2164580999562696E-2,8.3063502803015655E-3,1.6279140351022417E-2,1.0273261586643399E-2,3.569779060117656E-2,1.4718374132075883E-2,1.0232697091957302E-2,2.3048085990070615E-2
"Phenol, 2-methoxy-4-(1Z)-1-propen-1-yl- (cis-Isoeugenol)",Aromatic,Lignin,2.4617697068202056E-2,4.481967752025294E-2,3.9247417490419781E-2,2.7446309221396081E-2,7.6409337797753135E-2,2.1986657356267317E-2,4.174295302699299E-2,2.0580332378554382E-2,2.593687840535688E-2,1.955628454726889E-2,4.736907382253483E-2,2.6545555728839043E-2,1.5053818383345678E-2,1.8595577188772836E-2,3.0772163901910381E-2,1.3331053111987028E-2,3.0764882271448177E-2,5.4704140906241039E-2,4.3849927815351061E-2,1.8576019717765319E-2,3.6421127564999302E-2,2.4024730412045645E-2,2.9625486014378487E-2,2.0578467536513503E-2,1.5931785440978452E-2,1.8705692977448615E-2
"Benzaldehyde, 4-hydroxy-3,5-dimethoxy- (Syringaldehyde)",Aromatic,Lignin,2.942805166773579E-2,2.2019725512851543E-2,3.9985150901893834E-2,3.5318506439936045E-2,7.6409337797753128E-3,2.9519123302395932E-2,4.756023838292045E-3,1.8332580645826501E-2,2.4658299892416753E-2,1.6081923356424312E-2,2.6897265892921983E-2,5.9569491129597134E-2,9.6100746598642775E-3,1.6475028912860148E-2,1.6891242141809502E-2,2.2664850731353527E-2,6.217069959021819E-2,1.1937336250887512E-2,1.4377025513229856E-2,2.703339454861782E-2,1.7934646149431473E-2,1.8466770391348517E-2,5.5754796660600504E-3,5.8464652802412538E-2,2.9725076191892682E-2,1.8371662745708464E-2
"Ethanone, 1-(4-hydroxy-3,5-dimethoxyphenyl)- (Acetosyringone)",Aromatic,Lignin,3.0276937773535864E-2,1.5691221723724919E-2,1.8885975333735833E-2,1.9574112002856123E-2,2.8617459533686784E-3,1.1889081385240845E-2,1.2735138211624982E-3,6.1039863567656288E-3,6.0093190108186003E-3,3.4951657488735892E-3,1.4076235817295838E-2,4.9140879950410367E-2,1.4817988330342875E-3,1.941117267950849E-3,6.0039167612966453E-3,3.6675849365281152E-3,4.3743816979715369E-2,2.5327913436665678E-3,4.1333948350535839E-3,5.0593224434564077E-3,4.0835809694090121E-3,3.4961361420514179E-3,8.8232425738475053E-4,4.2519747492663656E-2,2.0422624290113319E-2,1.4296493918478585E-2
"Benzeneacetic acid, 4-hydroxy-3-methoxy- (Homovanillic acid)",Aromatic,Lignin,6.8854095248227967E-3,9.6227934327815789E-3,4.4264004688443354E-3,1.4148678784673175E-2,9.1547036795421206E-4,8.6521568300126017E-4,2.6963903744366472E-4,0.00000,1.8265407327716112E-3,0.00000,6.2162570063641915E-3,3.1443842797851007E-2,0.00000,0.00000,1.7392962205427609E-4,7.2527522340331283E-4,1.7946181325011433E-2,1.0380292392076099E-3,2.0247644264465379E-3,1.8273970616663443E-3,1.8210563782499651E-3,0.00000,3.6893850595545876E-4,2.8073935844515112E-2,1.6252559644488088E-2,1.3595030431824263E-2
"Ethanone, 1-(4-hydroxy-3-methoxyphenyl)-  (Acetovanillone)",Aromatic,Lignin,1.7166363472845877E-2,1.2396932080069962E-2,1.9033522016030643E-2,2.4680402090557718E-2,4.5629349835828049E-3,7.7971201550466494E-3,2.5706112316057832E-3,8.063036032078922E-3,5.2787027177099563E-3,4.3065435120049579E-3,5.6484258375136169E-3,2.1963287180408492E-2,2.69239310511535E-3,1.8269338992478578E-3,3.2611804135176761E-3,2.8021997267855267E-3,1.6504077468537305E-2,4.5880892372976356E-3,3.4984095415525984E-3,4.0927653199304068E-3,4.9803132768805863E-3,2.5100464609599921E-3,1.9136959909909082E-3,2.2622686165968485E-2,3.3253592430498649E-2,1.2776656364060885E-2
"Benzaldehyde, 4-hydroxy-3-methoxy- (Vanillin)",Aromatic,Lignin,1.8675494327601558E-2,6.3718497054905052E-3,3.2902910151742897E-2,2.9893073221753098E-2,1.3479760536018712E-2,1.3823092911949544E-2,6.226067570127768E-3,1.5507424798269435E-2,1.413742527165227E-2,1.075595650099789E-2,1.2522171565704791E-2,2.117324087895495E-2,6.4067164399095192E-3,4.6162704775637832E-3,8.194761039095699E-3,8.4065991803565793E-3,1.9708752705146486E-2,1.0100024497490043E-2,9.8482624765624527E-3,9.0312681229460651E-3,1.0953930032806609E-2,8.1217931915348335E-3,0.00000,1.3764405438330225E-2,2.2133420042164693E-2,1.0388340207118787E-2
